16;NO;NO;NO;NO;NO;YES;NO
20;NO;YES;NO;NO;NO;NO;NO
110;NO;YES;NO;NO;NO;NO;NO
156;NO;NO;NO;NO;YES;YES;NO
178;YES;NO;NO;NO;NO;NO;NO
188;YES;NO;NO;NO;NO;NO;NO
202;NO;YES;NO;NO;NO;NO;NO
244;NO;YES;NO;NO;NO;NO;NO
259;YES;NO;NO;NO;NO;NO;NO
269;NO;NO;YES;NO;YES;YES;NO
294;NO;YES;NO;NO;NO;NO;NO
306;NO;YES;NO;NO;NO;NO;NO
332;NO;YES;NO;NO;NO;NO;NO
350;NO;YES;NO;NO;NO;NO;NO
461;NO;NO;NO;NO;YES;YES;NO
467;YES;NO;NO;NO;NO;NO;NO
503;NO;NO;NO;YES;NO;YES;NO
554;NO;YES;NO;NO;NO;NO;NO
575;NO;NO;YES;NO;YES;YES;YES
578;YES;NO;NO;NO;NO;NO;NO
598;NO;NO;NO;NO;YES;NO;NO
604;NO;NO;NO;YES;NO;YES;NO
645;NO;NO;NO;NO;YES;YES;NO
655;YES;NO;NO;NO;NO;NO;NO
666;NO;YES;NO;NO;NO;NO;NO
711;YES;NO;NO;NO;NO;NO;NO
726;YES;NO;YES;NO;NO;NO;NO
745;NO;NO;NO;NO;YES;NO;YES
772;NO;NO;NO;NO;YES;NO;NO
835;NO;YES;NO;NO;NO;NO;NO
840;YES;NO;YES;NO;NO;NO;NO
914;NO;NO;NO;YES;NO;NO;NO
916;NO;NO;NO;YES;NO;NO;NO
919;NO;YES;NO;NO;NO;NO;NO
947;NO;NO;NO;YES;NO;YES;NO
963;NO;NO;YES;NO;YES;YES;NO
968;NO;NO;NO;YES;NO;NO;NO
970;NO;YES;NO;NO;NO;NO;NO
971;NO;NO;YES;NO;NO;YES;YES
995;NO;NO;NO;NO;YES;NO;NO
1023;YES;NO;NO;NO;NO;NO;NO
1043;NO;NO;NO;YES;YES;YES;NO
1176;NO;NO;NO;YES;NO;NO;NO
1178;NO;YES;NO;NO;NO;NO;NO
1183;NO;YES;NO;NO;NO;NO;NO
1207;NO;YES;NO;NO;NO;NO;YES
1208;NO;NO;NO;YES;NO;YES;NO
1218;NO;NO;NO;YES;NO;YES;NO
1296;NO;NO;NO;NO;YES;YES;YES
1400;NO;NO;NO;YES;NO;NO;NO
1417;YES;NO;NO;NO;NO;NO;NO
1525;NO;YES;NO;YES;NO;NO;NO
1538;YES;NO;NO;NO;NO;NO;NO
1554;NO;YES;NO;NO;NO;NO;NO
1614;NO;NO;NO;YES;NO;YES;NO
1623;YES;NO;NO;NO;NO;NO;NO
1657;NO;YES;YES;NO;NO;YES;NO
1681;NO;NO;NO;NO;YES;NO;NO
1702;YES;NO;NO;NO;NO;NO;NO
1703;YES;NO;YES;NO;NO;YES;YES
1717;NO;YES;NO;NO;NO;NO;NO
1833;NO;YES;YES;NO;NO;YES;NO
1865;YES;NO;NO;NO;NO;NO;NO
1879;YES;NO;NO;NO;NO;NO;YES
1927;YES;NO;NO;NO;NO;NO;YES
2026;NO;NO;NO;YES;NO;YES;NO
2032;NO;NO;NO;NO;YES;YES;NO
2038;YES;NO;NO;NO;YES;YES;NO
2043;NO;YES;NO;NO;NO;NO;NO
2074;YES;NO;NO;NO;NO;NO;YES
2170;NO;NO;NO;YES;NO;YES;NO
2188;NO;NO;NO;YES;NO;YES;NO
2286;NO;NO;NO;NO;YES;YES;NO
2291;NO;NO;NO;NO;YES;YES;NO
2313;YES;NO;NO;NO;NO;NO;NO
2318;NO;NO;NO;NO;YES;YES;NO
2443;NO;NO;NO;NO;YES;NO;NO
2445;NO;YES;NO;NO;NO;YES;NO
2538;NO;NO;NO;YES;NO;YES;YES
2543;NO;NO;NO;NO;YES;YES;NO
2549;NO;NO;NO;NO;YES;YES;NO
2558;YES;NO;YES;NO;NO;NO;NO
2589;NO;YES;NO;NO;NO;NO;NO
2598;YES;NO;NO;NO;NO;NO;NO
2635;NO;YES;NO;NO;NO;NO;NO
2666;YES;NO;NO;NO;NO;YES;NO
2709;YES;NO;NO;NO;NO;NO;NO
2717;NO;NO;NO;YES;NO;YES;NO
2727;NO;NO;YES;NO;NO;NO;NO
2742;YES;NO;NO;NO;NO;NO;NO
2771;NO;NO;NO;NO;YES;YES;YES
2778;YES;NO;NO;NO;NO;NO;NO
2801;NO;NO;NO;YES;NO;YES;NO
2808;NO;NO;NO;NO;YES;YES;NO
2828;NO;YES;NO;NO;NO;NO;NO
2861;NO;NO;YES;YES;NO;YES;NO
2875;YES;NO;NO;NO;NO;NO;NO
2929;NO;NO;NO;NO;YES;YES;NO
3047;NO;NO;NO;YES;NO;YES;NO
3050;NO;NO;NO;YES;NO;NO;NO
3103;YES;NO;NO;NO;NO;NO;NO
3117;YES;NO;NO;NO;NO;NO;NO
3125;NO;NO;NO;YES;NO;NO;NO
3160;NO;YES;NO;NO;NO;NO;NO
3183;NO;NO;NO;NO;YES;YES;YES
3258;NO;NO;YES;NO;YES;YES;NO
3276;NO;NO;NO;YES;NO;YES;NO
3377;NO;YES;NO;NO;NO;NO;NO
3441;NO;NO;NO;NO;YES;NO;NO
3455;NO;YES;NO;NO;NO;NO;NO
3538;NO;NO;NO;YES;NO;YES;NO
3670;NO;NO;NO;YES;NO;NO;NO
3680;YES;NO;NO;NO;NO;NO;NO
3833;YES;NO;NO;NO;NO;NO;NO
3834;YES;NO;NO;NO;NO;NO;NO
3878;NO;NO;NO;NO;YES;NO;NO
3914;NO;NO;NO;NO;YES;NO;NO
3923;NO;YES;NO;NO;NO;NO;NO
3936;NO;NO;NO;NO;YES;NO;NO
3939;YES;NO;NO;NO;YES;NO;NO
3988;NO;YES;NO;NO;NO;NO;NO
4020;NO;NO;NO;NO;YES;NO;NO
4085;NO;NO;NO;NO;YES;NO;NO
4092;YES;NO;NO;NO;NO;NO;NO
4130;YES;NO;NO;NO;NO;NO;NO
4151;NO;NO;NO;NO;YES;NO;NO
4158;NO;NO;YES;NO;YES;YES;NO
4161;YES;NO;NO;NO;NO;NO;NO
4254;NO;NO;NO;NO;YES;YES;NO
4286;NO;NO;NO;NO;YES;NO;NO
4292;NO;NO;NO;NO;NO;NO;NO
4320;YES;NO;NO;NO;NO;NO;NO
4339;NO;NO;NO;YES;NO;NO;NO
4376;YES;NO;NO;NO;NO;NO;NO
4387;NO;NO;YES;YES;NO;NO;NO
4429;NO;YES;NO;NO;NO;NO;NO
4456;NO;NO;NO;YES;NO;YES;NO
4458;NO;NO;NO;YES;NO;NO;NO
4610;YES;NO;NO;NO;NO;NO;NO
4646;NO;NO;NO;YES;NO;YES;NO
4681;NO;NO;NO;YES;NO;YES;NO
4693;YES;NO;NO;NO;NO;YES;NO
4705;YES;NO;NO;NO;NO;NO;NO
4710;NO;YES;NO;NO;NO;NO;NO
4863;YES;NO;NO;NO;YES;YES;NO
4872;NO;YES;NO;NO;NO;NO;NO
4889;YES;NO;NO;NO;NO;NO;NO
4934;NO;NO;NO;NO;YES;YES;YES
4936;NO;NO;NO;YES;NO;NO;NO
4955;NO;YES;NO;NO;NO;NO;NO
4989;NO;NO;NO;YES;NO;YES;NO
4995;NO;YES;NO;NO;NO;NO;NO
5018;YES;NO;YES;NO;NO;YES;NO
5040;NO;YES;NO;NO;NO;NO;NO
5044;NO;NO;YES;YES;NO;YES;NO
5110;NO;NO;NO;YES;NO;YES;NO
5138;NO;NO;NO;NO;YES;YES;NO